label,dimension,selected,catlevel1,catlevel2
appInstallerId,ga:appInstallerId,0,,
appVersion,ga:appVersion,0,,
appName,ga:appName,0,,
appId,ga:appId,0,,
screenName,ga:screenName,0,,
screenDepth,ga:screenDepth,0,,
landingScreenName,ga:landingScreenName,0,,
exitScreenName,ga:exitScreenName,0,,
eventCategory,ga:eventCategory,0,,
eventAction,ga:eventAction,0,,
eventLabel,ga:eventLabel,0,,
transactionId,ga:transactionId,0,,
affiliation,ga:affiliation,0,,
sessionsToTransaction,ga:sessionsToTransaction,0,,
daysToTransaction,ga:daysToTransaction,0,,
productSku,ga:productSku,0,,
productName,ga:productName,0,,
productCategory,ga:productCategory,0,,
currencyCode,ga:currencyCode,0,,
checkoutOptions,ga:checkoutOptions,0,,
internalPromotionCreative,ga:internalPromotionCreative,0,,
internalPromotionId,ga:internalPromotionId,0,,
internalPromotionName,ga:internalPromotionName,0,,
internalPromotionPosition,ga:internalPromotionPosition,0,,
orderCouponCode,ga:orderCouponCode,0,,
productBrand,ga:productBrand,0,,
productCategoryHierarchy,ga:productCategoryHierarchy,0,,
productCategoryLevelXX,ga:productCategoryLevelXX,0,,
productCouponCode,ga:productCouponCode,0,,
productListName,ga:productListName,0,,
productListPosition,ga:productListPosition,0,,
productVariant,ga:productVariant,0,,
shoppingStage,ga:shoppingStage,0,,
socialInteractionNetwork,ga:socialInteractionNetwork,0,,
socialInteractionAction,ga:socialInteractionAction,0,,
socialInteractionNetworkAction,ga:socialInteractionNetworkAction,0,,
socialInteractionTarget,ga:socialInteractionTarget,0,,
socialEngagementType,ga:socialEngagementType,0,,
userTimingCategory,ga:userTimingCategory,0,,
userTimingLabel,ga:userTimingLabel,0,,
userTimingVariable,ga:userTimingVariable,0,,
exceptionDescription,ga:exceptionDescription,0,,
experimentId,ga:experimentId,0,,
experimentVariant,ga:experimentVariant,0,,
dimensionXX,ga:dimensionXX,0,,
customVarNameXX,ga:customVarNameXX,0,,
customVarValueXX,ga:customVarValueXX,0,,
date,ga:date,0,,
year,ga:year,0,,
month,ga:month,0,,
week,ga:week,0,,
day,ga:day,0,,
hour,ga:hour,0,,
minute,ga:minute,0,,
nthMonth,ga:nthMonth,0,,
nthWeek,ga:nthWeek,0,,
nthDay,ga:nthDay,0,,
nthMinute,ga:nthMinute,0,,
dayOfWeek,ga:dayOfWeek,0,,
dayOfWeekName,ga:dayOfWeekName,0,,
dateHour,ga:dateHour,0,,
yearMonth,ga:yearMonth,0,,
yearWeek,ga:yearWeek,0,,
isoWeek,ga:isoWeek,0,,
isoYear,ga:isoYear,0,,
isoYearIsoWeek,ga:isoYearIsoWeek,0,,
nthHour,ga:nthHour,0,,
dcmClickAd,ga:dcmClickAd,0,,
dcmClickAdId,ga:dcmClickAdId,0,,
dcmClickAdType,ga:dcmClickAdType,0,,
dcmClickAdTypeId,ga:dcmClickAdTypeId,0,,
dcmClickAdvertiser,ga:dcmClickAdvertiser,0,,
dcmClickAdvertiserId,ga:dcmClickAdvertiserId,0,,
dcmClickCampaign,ga:dcmClickCampaign,0,,
dcmClickCampaignId,ga:dcmClickCampaignId,0,,
dcmClickCreativeId,ga:dcmClickCreativeId,0,,
dcmClickCreative,ga:dcmClickCreative,0,,
dcmClickRenderingId,ga:dcmClickRenderingId,0,,
dcmClickCreativeType,ga:dcmClickCreativeType,0,,
dcmClickCreativeTypeId,ga:dcmClickCreativeTypeId,0,,
dcmClickCreativeVersion,ga:dcmClickCreativeVersion,0,,
dcmClickSite,ga:dcmClickSite,0,,
dcmClickSiteId,ga:dcmClickSiteId,0,,
dcmClickSitePlacement,ga:dcmClickSitePlacement,0,,
dcmClickSitePlacementId,ga:dcmClickSitePlacementId,0,,
dcmClickSpotId,ga:dcmClickSpotId,0,,
dcmFloodlightActivity,ga:dcmFloodlightActivity,0,,
dcmFloodlightActivityAndGroup,ga:dcmFloodlightActivityAndGroup,0,,
dcmFloodlightActivityGroup,ga:dcmFloodlightActivityGroup,0,,
dcmFloodlightActivityGroupId,ga:dcmFloodlightActivityGroupId,0,,
dcmFloodlightActivityId,ga:dcmFloodlightActivityId,0,,
dcmFloodlightAdvertiserId,ga:dcmFloodlightAdvertiserId,0,,
dcmFloodlightSpotId,ga:dcmFloodlightSpotId,0,,
dcmLastEventAd,ga:dcmLastEventAd,0,,
dcmLastEventAdId,ga:dcmLastEventAdId,0,,
dcmLastEventAdType,ga:dcmLastEventAdType,0,,
dcmLastEventAdTypeId,ga:dcmLastEventAdTypeId,0,,
dcmLastEventAdvertiser,ga:dcmLastEventAdvertiser,0,,
dcmLastEventAdvertiserId,ga:dcmLastEventAdvertiserId,0,,
dcmLastEventAttributionType,ga:dcmLastEventAttributionType,0,,
dcmLastEventCampaign,ga:dcmLastEventCampaign,0,,
dcmLastEventCampaignId,ga:dcmLastEventCampaignId,0,,
dcmLastEventCreativeId,ga:dcmLastEventCreativeId,0,,
dcmLastEventCreative,ga:dcmLastEventCreative,0,,
dcmLastEventRenderingId,ga:dcmLastEventRenderingId,0,,
dcmLastEventCreativeType,ga:dcmLastEventCreativeType,0,,
dcmLastEventCreativeTypeId,ga:dcmLastEventCreativeTypeId,0,,
dcmLastEventCreativeVersion,ga:dcmLastEventCreativeVersion,0,,
dcmLastEventSite,ga:dcmLastEventSite,0,,
dcmLastEventSiteId,ga:dcmLastEventSiteId,0,,
dcmLastEventSitePlacement,ga:dcmLastEventSitePlacement,0,,
dcmLastEventSitePlacementId,ga:dcmLastEventSitePlacementId,0,,
dcmLastEventSpotId,ga:dcmLastEventSpotId,0,,
landingContentGroupXX,ga:landingContentGroupXX,0,,
previousContentGroupXX,ga:previousContentGroupXX,0,,
contentGroupXX,ga:contentGroupXX,0,,
nextContentGroupXX,ga:nextContentGroupXX,0,,
userAgeBracket,ga:userAgeBracket,1,audience,
userGender,ga:userGender,1,audience,
interestOtherCategory,ga:interestOtherCategory,1,audience,
interestAffinityCategory,ga:interestAffinityCategory,1,audience,
interestInMarketCategory,ga:interestInMarketCategory,1,audience,
channelGrouping,ga:channelGrouping,0,,
correlationModelId,ga:correlationModelId,0,,
queryProductId,ga:queryProductId,0,,
queryProductName,ga:queryProductName,0,,
queryProductVariation,ga:queryProductVariation,0,,
relatedProductId,ga:relatedProductId,0,,
relatedProductName,ga:relatedProductName,0,,
